deceptive,hotel,polarity,source,text,clean_text
truthful,conrad,positive,TripAdvisor,"We stayed for a one night getaway with family on a thursday. Triple AAA rate of 173 was a steal. 7th floor room complete with 44in plasma TV bose stereo, voss and evian water, and gorgeous bathroom(no tub but was fine for us) Concierge was very helpful. You cannot beat this location... Only flaw was breakfast was pricey and service was very very slow(2hours for four kids and four adults on a friday morning) even though there were only two other tables in the restaurant. Food was very good so it was worth the wait. I would return in a heartbeat. A gem in chicago... 
",stay one night getaway famili thursday tripl aaa rate steal th floor room complet plasma tv bose stereo voss evian water gorgeou bathroomno tub fine us concierg help cannot beat locat flaw breakfast pricey servic slowhour four kid four adult friday morn even though two tabl restaur food good worth wait would return heartbeat gem chicago
truthful,hyatt,positive,TripAdvisor,"Triple A rate with upgrade to view room was less than $200 which also included breakfast vouchers. Had a great view of river, lake, Wrigley Bldg. & Tribune Bldg. Most major restaurants, Shopping, Sightseeing attractions within walking distance. Large room with a very comfortable bed. 
",tripl rate upgrad view room less also includ breakfast voucher great view river lake wrigley bldg tribun bldg major restaur shop sightse attract within walk distanc larg room comfort bed
truthful,hyatt,positive,TripAdvisor,"This comes a little late as I'm finally catching up on my reviews from the past several months:) A dear friend and I stayed at the Hyatt Regency in late October 2007 for one night while visiting a friend and her husband from out of town. This hotel is perfect, IMO. Easy check in and check out. Lovely, clean, comfortable rooms with great views of the city. I know this area pretty well and it's very convenient to many downtown Chicago attractions. We had dinner and went clubing with our friends around Division St.. We had no problems getting cabs back and forth to the Hyatt and there's even public transportation right near by but we didn't bother since we only needed cabs from and to the hotel. Parking, as is usual for Chicago, was expensive but we were able to get our car out quickly (however, we left on a Sunday morning, not exactly a high traffic time although it was a Bears homegame day, so a bit busier than usual I would think). No problems at all and the best part is that we got a rate of $100 through Hotwire, a downright steal for this area of Chicago and the quality of the hotel. 
",come littl late im final catch review past sever month dear friend stay hyatt regenc late octob one night visit friend husband town hotel perfect imo easi check check love clean comfort room great view citi know area pretti well conveni mani downtown chicago attract dinner went clube friend around divis st problem get cab back forth hyatt there even public transport right near didnt bother sinc need cab hotel park usual chicago expens abl get car quickli howev left sunday morn exactli high traffic time although bear homegam day bit busier usual would think problem best part got rate hotwir downright steal area chicago qualiti hotel
truthful,omni,positive,TripAdvisor,"The Omni Chicago really delivers on all fronts, from the spaciousness of the rooms to the helpful staff to the prized location on Michigan Avenue. While this address in Chicago requires a high level of quality, the Omni delivers. Check in for myself and a whole group of people with me was under 3 minutes, the staff had plentiful recommendations for dining and events, and the rooms are some of the largest you'll find at this price range in Chicago. Even the 'standard' room has a separate living area and work desk. The fitness center has free weights, weight machines, and two rows of cardio equipment. I shared the room with 7 others and did not feel cramped in any way! All in all, a great property! 
",omni chicago realli deliv front spacious room help staff prize locat michigan avenu address chicago requir high level qualiti omni deliv check whole group peopl minut staff plenti recommend dine event room largest youll find price rang chicago even standard room separ live area work desk fit center free weight weight machin two row cardio equip share room other feel cramp way great properti
truthful,hyatt,positive,TripAdvisor,"I asked for a high floor away from the elevator and that is what I got. The room was pleasantly decorated, functional and very clean. I didn't need a whole lot of service but when I did they were pleasant and prompt. I used the fitness center which was well equipped and everything was in working order. It is in a great location at one end of the Michigan Avenue shopping district. 
",ask high floor away elev got room pleasantli decor function clean didnt need whole lot servic pleasant prompt use fit center well equip everyth work order great locat one end michigan avenu shop district
truthful,omni,positive,TripAdvisor,"I stayed at the Omni for one night following a business meeting at another downtown Chicago hotel. I was completely impressed by the service; all personnel during my stay were absolutely outstanding. I checked in quite early (no problem) and was efficiently checked in. My room had a somewhat heavy scent of air freshener (the ONLY negative from the entire stay), which was managed reasonably well by opening the windows. I don't generally require much during my hotel stays, but suffice to say the doorman, housekeeping, the night manager and bartender at 676, the day waiter at 676, and the concierge were amazing - I never waited more than about 30 seconds for anything. The room was very comfy and the amenities were superior. One very tiny complaint - there was no wastebasket near the sink or near the wet bar - had to walk to the other end of the bathroom or sitting room to dispose of kleenex/coffee paraphernalia. One wastebasket would make all the difference. All that said - what a great hotel!! Thanks, Omni - I had a great stay! 
",stay omni one night follow busi meet anoth downtown chicago hotel complet impress servic personnel stay absolut outstand check quit earli problem effici check room somewhat heavi scent air freshen neg entir stay manag reason well open window dont gener requir much hotel stay suffic say doorman housekeep night manag bartend day waiter concierg amaz never wait second anyth room comfi amen superior one tini complaint wastebasket near sink near wet bar walk end bathroom sit room dispos kleenexcoffe paraphernalia one wastebasket would make differ said great hotel thank omni great stay
truthful,conrad,positive,TripAdvisor,"We stayed in the Conrad for 4 nights just before Thanksgiving. We had a corner room overlooking N Michigan Av and the Tribune Building. To say this is a 5 star hotel is to damn this place with faint praise - it is wonderful. The staff were unbelievably helpful. The standard of the room was superb - HD plasma screens, luxury bedlinens, iPod radio, huge bathroom. Location is unbeatable - right in the heart of everything - watched the whole Light Festival parade from the window. Breakfasts were excellent - no help yourself buffet here - with full and attentive table service. Would have no hesitation recommending or staying again in this hotel - 5 out of 5. 
",stay conrad night thanksgiv corner room overlook n michigan av tribun build say star hotel damn place faint prais wonder staff unbeliev help standard room superb hd plasma screen luxuri bedlinen ipod radio huge bathroom locat unbeat right heart everyth watch whole light festiv parad window breakfast excel help buffet full attent tabl servic would hesit recommend stay hotel
truthful,omni,positive,TripAdvisor,"Just got back from 2 days up in Chicago shopping with girlfriends. First time I have stayed at the Omni. I did so because I saw a $129.00 rate that included $25.00 of free food on Travelzoo. The three of us (55 year olds) all stayed in one suite with 2 double beds and a VERY comfortable pull out sofa. We had plenty of room. Food in the restaurant was great, service was outstanding from everone we came into contact with, early morning delivery of free coffee, juice and hot chocolate was fabulous and recommendations from the staff on where to eat, time of movies, shopping areas, etc was really helpful. Need I mention the outstanding location? Simply the best! We all decided that the Omni is our new favorite hotel. 
",got back day chicago shop girlfriend first time stay omni saw rate includ free food travelzoo three us year old stay one suit doubl bed comfort pull sofa plenti room food restaur great servic outstand everon came contact earli morn deliveri free coffe juic hot chocol fabul recommend staff eat time movi shop area etc realli help need mention outstand locat simpli best decid omni new favorit hotel
truthful,omni,positive,TripAdvisor,"We arrived at the Omni on 2nd September for a 6 day stay. I took ill when I left the plane after travelling from Manchester so I saw more of the room than I anticipated. I couldn't go out for 4 days. The room was spacious and clean. The bed was extremely comfortable. The bathroom was large and very clean. What more could you ask. We had coffee and juice left outside our door every morning at the time we requested. I managed to go to the 5th floor to see the sun terrace (outside the gym) Having a sun terrace in a city hotel is a great idea but the terrace was a bit grim. A few sunbeds on a concrete floor. There was also noise from an air conditioning unit. It could do with a bit of cheering up. What I saw of Chicago was very pleasing, it has something for everyone. Would I go back to the Omni? yes I would. 
",arriv omni nd septemb day stay took ill left plane travel manchest saw room anticip couldnt go day room spaciou clean bed extrem comfort bathroom larg clean could ask coffe juic left outsid door everi morn time request manag go th floor see sun terrac outsid gym sun terrac citi hotel great idea terrac bit grim sunb concret floor also nois air condit unit could bit cheer saw chicago pleas someth everyon would go back omni ye would
truthful,hyatt,positive,TripAdvisor,"On our visit to Chicago, we chose the Hyatt due to its location in downtown, within walking distance to most major attractions, such as Sears Tower, Magnificent Mile, Grant/Millenium Parks, etc. Subway & bus stops very close by to travel to other locations in the city . Overall the hotel was very nice, clean, and at a great location. Was in a safe area. Went to beautiful Wrigley Field and Soldier Field and saw both teams play. I love Chicago and would defenitely stay here again! 
",visit chicago chose hyatt due locat downtown within walk distanc major attract sear tower magnific mile grantmillenium park etc subway bu stop close travel locat citi overal hotel nice clean great locat safe area went beauti wrigley field soldier field saw team play love chicago would defenit stay
